____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:41:27 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  222.6 wakeup/s;CPU:  6.1% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.0%; 39.0;Process;[PID 867] /usr/lib/snapd/snapd ;  154 mW  
  0.0%; 35.4;Timer;tick_sched_timer;  140 mW  
  0.0%; 14.3;Process;[PID 11] [rcu_sched]; 56.7 mW  
  0.0%; 14.0;Process;[PID 8761] /usr/bin/containerd ; 55.5 mW  
  0.0%; 11.2;Process;[PID 8763] /usr/bin/containerd ; 44.7 mW  
  0.0%;  9.4;Timer;hrtimer_wakeup; 37.6 mW  
  0.0%;  8.7;Process;[PID 793] /lib/systemd/systemd-logind ; 34.7 mW  
  0.0%;  7.3;Process;[PID 1] /sbin/init ; 29.5 mW  
  0.0%;  7.1;kWork;psi_avgs_work; 28.2 mW  
  1.5%; 0.07;Process;[PID 17768] landscape-sysin; 23.8 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
193.9 us/s; 39.0;;;;Process;[PID 867] /usr/lib/snapd/snapd ;  154 mW  
236.8 us/s; 35.4;;;;Timer;tick_sched_timer;  140 mW  
 59.6 us/s; 14.3;;;;Process;[PID 11] [rcu_sched]; 56.7 mW  
173.6 us/s; 14.0;;;;Process;[PID 8761] /usr/bin/containerd ; 55.5 mW  
335.5 us/s; 11.2;;;;Process;[PID 8763] /usr/bin/containerd ; 44.7 mW  
306.5 us/s;  9.4;;;;Timer;hrtimer_wakeup; 37.6 mW  
341.4 us/s;  8.7;;;;Process;[PID 793] /lib/systemd/systemd-logind ; 34.7 mW  
493.2 us/s;  7.3;;;;Process;[PID 1] /sbin/init ; 29.5 mW  
 30.4 us/s;  7.1;;;;kWork;psi_avgs_work; 28.2 mW  
 15.1 ms/s; 0.07;;;;Process;[PID 17768] landscape-sysin; 23.8 mW  
 14.4 ms/s; 0.07;;;;Process;[PID 17847] landscape-sysin; 22.7 mW  
509.4 us/s;  4.7;;;;Process;[PID 406] /lib/systemd/systemd-udevd ; 19.5 mW  
196.3 us/s;  4.0;;;;Process;[PID 8768] /usr/bin/containerd ; 16.1 mW  
 16.7 us/s;  4.1;;;;kWork;free_work; 16.1 mW  
 91.4 us/s;  3.9;;;;Interrupt;[3] net_rx(softirq); 15.7 mW  
  1.0 ms/s;  2.5;;;;Process;[PID 17752] sshd; 11.5 mW  
  0.9 ms/s;  2.5;;;;Process;[PID 17831] sshd; 11.5 mW  
  1.2 ms/s;  2.1;;;;Process;[PID 17544] systemd-udevd; 10.2 mW  
216.7 us/s;  2.3;;;;Interrupt;[7] sched(softirq); 9.29 mW  
409.2 us/s;  1.9;;;;Process;[PID 374] /lib/systemd/systemd-journald ; 8.27 mW  
