____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:44:20 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  186.4 wakeup/s;CPU:  0.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 31.5;Process;[PID 10682] /usr/bin/containerd ;  125 mW  
  0.0%; 31.1;Process;[PID 8672] /usr/bin/containerd ;  123 mW  
  0.0%; 15.9;Timer;tick_sched_timer; 63.1 mW  
  0.1%; 12.4;Timer;hrtimer_wakeup; 49.9 mW  
  0.0%; 10.0;Process;[PID 13071] mongod --auth --bind_ip_all ; 39.9 mW  
  0.0%; 10.1;Process;[PID 11] [rcu_sched]; 39.8 mW  
  0.0%; 10.0;Process;[PID 13062] mongod --auth --bind_ip_all ; 39.7 mW  
  0.0%;  9.9;Process;[PID 8674] /usr/bin/containerd ; 39.4 mW  
  0.0%;  7.2;kWork;psi_avgs_work; 28.5 mW  
  0.0%;  6.3;Process;[PID 8678] /usr/bin/containerd ; 25.0 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
504.5 us/s; 31.5;;;;Process;[PID 10682] /usr/bin/containerd ;  125 mW  
284.9 us/s; 31.1;;;;Process;[PID 8672] /usr/bin/containerd ;  123 mW  
115.1 us/s; 15.9;;;;Timer;tick_sched_timer; 63.1 mW  
616.2 us/s; 12.4;;;;Timer;hrtimer_wakeup; 49.9 mW  
246.3 us/s; 10.0;;;;Process;[PID 13071] mongod --auth --bind_ip_all ; 39.9 mW  
 46.8 us/s; 10.1;;;;Process;[PID 11] [rcu_sched]; 39.8 mW  
159.1 us/s; 10.0;;;;Process;[PID 13062] mongod --auth --bind_ip_all ; 39.7 mW  
287.8 us/s;  9.9;;;;Process;[PID 8674] /usr/bin/containerd ; 39.4 mW  
 26.5 us/s;  7.2;;;;kWork;psi_avgs_work; 28.5 mW  
142.8 us/s;  6.3;;;;Process;[PID 8678] /usr/bin/containerd ; 25.0 mW  
 52.3 us/s;  4.1;;;;Process;[PID 10260] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 16.1 mW  
302.3 us/s;  3.2;;;;Process;[PID 10737] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 13.1 mW  
 53.8 us/s;  2.9;;;;Process;[PID 13054] mongod --auth --bind_ip_all ; 11.4 mW  
  1.7 ms/s;  2.0;;;;Process;[PID 13078] mongod --auth --bind_ip_all ; 10.5 mW  
 19.3 us/s;  2.2;;;;Interrupt;[4] block(softirq); 8.72 mW  
111.2 us/s;  2.1;;;;Process;[PID 10263] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 8.33 mW  
 32.2 us/s;  2.0;;;;Process;[PID 530] /sbin/multipathd -d -s ; 7.95 mW  
 41.4 us/s;  1.9;;;;Process;[PID 13032] postgres: walwriter  ; 7.44 mW  
