____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:41:43 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  74.3 wakeup/s;CPU:  0.2% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.0%; 14.2;Process;[PID 8761] /usr/bin/containerd ; 56.3 mW  
  0.0%; 13.5;Process;[PID 8766] /usr/bin/containerd ; 54.2 mW  
  0.0%; 10.6;Timer;tick_sched_timer; 42.0 mW  
  0.0%;  7.0;Timer;hrtimer_wakeup; 28.0 mW  
  0.0%;  6.7;Interrupt;[4] block(softirq); 26.4 mW  
  0.0%;  5.7;kWork;psi_avgs_work; 22.7 mW  
  0.0%;  4.1;Process;[PID 11] [rcu_sched]; 16.1 mW  
  0.0%;  2.1;Process;[PID 8763] /usr/bin/containerd ; 8.66 mW  
  0.0%;  2.0;Process;[PID 16714] /usr/bin/python3 /usr/bin/flask run --host=0.0.0.0 -p 8000 ; 8.08 mW  
  0.0%;  2.0;Process;[PID 525] /sbin/multipathd -d -s ; 7.97 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
162.4 us/s; 14.2;;;;Process;[PID 8761] /usr/bin/containerd ; 56.3 mW  
458.4 us/s; 13.5;;;;Process;[PID 8766] /usr/bin/containerd ; 54.2 mW  
 75.3 us/s; 10.6;;;;Timer;tick_sched_timer; 42.0 mW  
222.5 us/s;  7.0;;;;Timer;hrtimer_wakeup; 28.0 mW  
 29.0 us/s;  6.7;;;;Interrupt;[4] block(softirq); 26.4 mW  
 22.4 us/s;  5.7;;;;kWork;psi_avgs_work; 22.7 mW  
 17.9 us/s;  4.1;;;;Process;[PID 11] [rcu_sched]; 16.1 mW  
149.1 us/s;  2.1;;;;Process;[PID 8763] /usr/bin/containerd ; 8.66 mW  
117.3 us/s;  2.0;;;;Process;[PID 16714] /usr/bin/python3 /usr/bin/flask run --host=0.0.0.0 -p 8000 ; 8.08 mW  
 44.9 us/s;  2.0;;;;Process;[PID 525] /sbin/multipathd -d -s ; 7.97 mW  
168.3 us/s;  1.1;;;;Process;[PID 17906] ifstat -n -t -w -i eth0 ; 4.74 mW  
 13.4 us/s;  1.1;;;;kWork;blk_mq_run_work_fn; 4.23 mW  
 83.8 us/s;  0.6;;;;Interrupt;[7] sched(softirq); 2.50 mW  
 22.9 us/s;  0.4;;;;Process;[PID 10378] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 1.62 mW  
  4.7 us/s;  0.4;;;;Process;[PID 10355] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 1.59 mW  
  2.7 us/s;  0.4;;;;kWork;blk_mq_requeue_work; 1.58 mW  
  5.5 us/s;  0.3;;;;Timer;watchdog_timer_fn; 1.32 mW  
  1.4 us/s;  0.3;;;;kWork;wb_workfn; 1.32 mW  
 20.5 us/s; 0.20;;;;Process;[PID 521] /sbin/multipathd -d -s ;  822 uW  
  9.3 us/s; 0.20;;;;Process;[PID 791] /usr/lib/accountsservice/accounts-daemon ;  804 uW  
  7.8 us/s; 0.20;;;;Process;[PID 10357] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ;  802 uW  
118.2 us/s; 0.13;;;;Process;[PID 8768] /usr/bin/containerd ;  711 uW  
 32.7 us/s; 0.13;;;;Process;[PID 784] /usr/sbin/irqbalance --foreground ;  578 uW  
 14.1 us/s; 0.13;;;;Process;[PID 1899] [jbd2/sda1-8];  548 uW  
  8.9 us/s; 0.13;;;;Process;[PID 554] /lib/systemd/systemd-timesyncd ;  540 uW  
  4.5 us/s; 0.13;;;;kWork;vmstat_shepherd;  533 uW  
  2.9 us/s; 0.13;;;;Process;[PID 17746] powertop --csv=/data/metrics/power.csv --time=15 --iteration=1000 ;  531 uW  
  0.4 us/s; 0.13;;;;kWork;blk_mq_timeout_work;  527 uW  
  0.3 us/s; 0.13;;;;kWork;neigh_periodic_work;  527 uW  
 90.8 us/s; 0.07;;;;Process;[PID 8770] /usr/bin/containerd ;  405 uW  
228.9 us/s;;;;;Timer;rh_timer_func;  357 uW  
  3.8 us/s; 0.07;;;;Process;[PID 37] [khungtaskd];  269 uW  
 88.4 us/s;;;;;Process;[PID 8767] /usr/bin/containerd ;  138 uW  
 66.9 us/s;;;;;Process;[PID 17527] [kworker/u8:0];  104 uW  
 59.9 us/s;;;;;Interrupt;[1] timer(softirq);    0 mW  
 46.8 us/s;;;;;Timer;delayed_work_timer_fn;    0 mW  
 31.6 us/s;;;;;Interrupt;[9] RCU(softirq);    0 mW  
 19.9 us/s;;;;;Process;[PID 100] [kworker/3:1];    0 mW  
 14.2 us/s;;;;;Process;[PID 17431] [kworker/1:0];    0 mW  
 11.9 us/s;;;;;Timer;process_timeout;    0 mW  
  9.7 us/s;;;;;Interrupt;[25] virtio2-req.0;    0 mW  
  9.6 us/s;;;;;Process;[PID 1] /sbin/init ;    0 mW  
  8.2 us/s;;;;;Timer;clocksource_watchdog;    0 mW  
  7.3 us/s;;;;;Process;[PID 98] [kworker/2:1];    0 mW  
  6.9 us/s;;;;;Timer;blk_stat_timer_fn;    0 mW  
  6.3 us/s;;;;;Process;[PID 17409] [kworker/0:3];    0 mW  
  5.1 us/s;;;;;Process;[PID 185] [kworker/3:1H];    0 mW  
  3.5 us/s;;;;;kWork;vmstat_update;    0 mW  
  3.3 us/s;;;;;Timer;sched_rt_period_timer;    0 mW  
  2.4 us/s;;;;;Process;[PID 23] [migration/2];    0 mW  
  2.2 us/s;;;;;Process;[PID 17] [migration/1];    0 mW  
  1.8 us/s;;;;;Interrupt;[29] virtio0-request;    0 mW  
  1.7 us/s;;;;;Process;[PID 326] [kworker/1:1H];    0 mW  
  1.6 us/s;;;;;Process;[PID 12] [migration/0];    0 mW  
  1.3 us/s;;;;;Process;[PID 29] [migration/3];    0 mW  
  1.1 us/s;;;;;Timer;blk_rq_timed_out_timer;    0 mW  
  0.9 us/s;;;;;Process;[PID 296] [kworker/2:1H];    0 mW  
  0.8 us/s;;;;;Timer;writeout_period;    0 mW  
  0.7 us/s;;;;;Timer;timerfd_tmrproc;    0 mW  
  0.4 us/s;;;;;Process;[PID 331] [kworker/0:1H];    0 mW  
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;


The system baseline power is estimated at:  298 m W;
____________________________________________________________________
 *  *  *   Device Power Report   *  *  *

Usage;Device Name;PW Estimate
  0.3%;CPU misc;  298 mW   
  0.3%;CPU core;    0 mW   
  0.3%;DRAM;    0 mW   
100.0%;PCI Device: Red Hat, Inc. Virtio SCSI;           
100.0%;PCI Device: Red Hat, Inc. Virtio network device;           
100.0%;PCI Device: Device 1234:1111;           
100.0%;PCI Device: Intel Corporation 82371SB PIIX3 IDE [Natoma/Triton II];           
100.0%;PCI Device: Intel Corporation 82371AB/EB/MB PIIX4 ACPI;           
