____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:42:32 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  1165.4 wakeup/s;CPU:  14.7% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.7%;449.9;Interrupt;[3] net_rx(softirq);  1.79 W  
  0.1%;254.1;Timer;tick_sched_timer;  1.01 W  
  7.2%;155.9;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  727 mW  
  0.1%;110.4;Process;[PID 11] [rcu_sched];  437 mW  
  0.0%; 36.0;Process;[PID 868] /usr/lib/snapd/snapd ;  143 mW  
  0.0%; 17.9;Timer;hrtimer_wakeup; 71.3 mW  
  0.0%; 15.0;Process;[PID 8813] /usr/bin/containerd ; 59.5 mW  
  0.0%;  9.9;Interrupt;[28] virtio1-output.0; 39.7 mW  
  0.0%;  8.5;Process;[PID 804] /lib/systemd/systemd-logind ; 34.2 mW  
  0.0%;  8.5;Process;[PID 8818] /usr/bin/containerd ; 34.1 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  6.5 ms/s;449.9;;;;Interrupt;[3] net_rx(softirq);  1.79 W  
  1.1 ms/s;254.1;;;;Timer;tick_sched_timer;  1.01 W  
 71.5 ms/s;155.9;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  727 mW  
517.7 us/s;110.4;;;;Process;[PID 11] [rcu_sched];  437 mW  
210.0 us/s; 36.0;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  143 mW  
301.8 us/s; 17.9;;;;Timer;hrtimer_wakeup; 71.3 mW  
198.8 us/s; 15.0;;;;Process;[PID 8813] /usr/bin/containerd ; 59.5 mW  
337.1 us/s;  9.9;;;;Interrupt;[28] virtio1-output.0; 39.7 mW  
324.9 us/s;  8.5;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 34.2 mW  
279.6 us/s;  8.5;;;;Process;[PID 8818] /usr/bin/containerd ; 34.1 mW  
 49.0 us/s;  8.5;;;;Interrupt;[4] block(softirq); 33.8 mW  
269.3 us/s;  8.2;;;;Process;[PID 8814] /usr/bin/containerd ; 32.8 mW  
 37.1 us/s;  7.7;;;;kWork;psi_avgs_work; 30.3 mW  
514.6 us/s;  6.9;;;;Process;[PID 1] /sbin/init ; 28.2 mW  
 14.9 ms/s; 0.07;;;;Process;[PID 19233] landscape-sysin; 23.6 mW  
 14.7 ms/s; 0.07;;;;Process;[PID 19143] landscape-sysin; 23.2 mW  
 24.5 us/s;  4.3;;;;kWork;free_work; 17.1 mW  
  1.2 ms/s;  3.7;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 16.6 mW  
  0.9 ms/s;  3.7;;;;Interrupt;[7] sched(softirq); 16.1 mW  
  0.9 ms/s;  2.3;;;;Process;[PID 19117] sshd; 10.7 mW  
  0.9 ms/s;  2.3;;;;Process;[PID 19206] sshd; 10.4 mW  
