____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:42:48 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  1148.8 wakeup/s;CPU:  15.4% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.7%;470.7;Interrupt;[3] net_rx(softirq);  1.87 W  
  0.1%;237.6;Timer;tick_sched_timer;  940 mW  
  7.9%;153.8;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  732 mW  
  0.1%;102.7;Process;[PID 11] [rcu_sched];  407 mW  
  0.0%; 26.9;Process;[PID 868] /usr/lib/snapd/snapd ;  107 mW  
  0.0%; 20.1;Timer;hrtimer_wakeup; 80.0 mW  
  0.0%; 14.7;Process;[PID 8818] /usr/bin/containerd ; 58.8 mW  
  0.0%; 14.6;Process;[PID 8813] /usr/bin/containerd ; 58.0 mW  
  0.0%; 11.0;Process;[PID 1089] /usr/lib/snapd/snapd ; 43.8 mW  
  0.0%;  9.9;Interrupt;[28] virtio1-output.0; 39.8 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  6.6 ms/s;470.7;;;;Interrupt;[3] net_rx(softirq);  1.87 W  
  1.2 ms/s;237.6;;;;Timer;tick_sched_timer;  940 mW  
 79.5 ms/s;153.8;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  732 mW  
529.7 us/s;102.7;;;;Process;[PID 11] [rcu_sched];  407 mW  
248.9 us/s; 26.9;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  107 mW  
340.0 us/s; 20.1;;;;Timer;hrtimer_wakeup; 80.0 mW  
397.8 us/s; 14.7;;;;Process;[PID 8818] /usr/bin/containerd ; 58.8 mW  
216.7 us/s; 14.6;;;;Process;[PID 8813] /usr/bin/containerd ; 58.0 mW  
241.1 us/s; 11.0;;;;Process;[PID 1089] /usr/lib/snapd/snapd ; 43.8 mW  
356.5 us/s;  9.9;;;;Interrupt;[28] virtio1-output.0; 39.8 mW  
 46.7 us/s;  7.4;;;;Interrupt;[4] block(softirq); 29.3 mW  
 32.9 us/s;  7.2;;;;kWork;psi_avgs_work; 28.5 mW  
301.6 us/s;  6.1;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 24.7 mW  
 15.5 ms/s; 0.07;;;;Process;[PID 19405] landscape-sysin; 24.5 mW  
446.0 us/s;  5.8;;;;Process;[PID 1] /sbin/init ; 23.6 mW  
 14.8 ms/s; 0.07;;;;Process;[PID 19496] landscape-sysin; 23.3 mW  
  0.9 ms/s;  4.1;;;;Interrupt;[7] sched(softirq); 17.7 mW  
205.7 us/s;  4.3;;;;Process;[PID 8814] /usr/bin/containerd ; 17.4 mW  
  1.2 ms/s;  2.8;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 12.9 mW  
 16.9 us/s;  2.9;;;;kWork;free_work; 11.6 mW  
  1.0 ms/s;  2.5;;;;Process;[PID 19382] sshd; 11.5 mW  
