____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:44:33 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  66.3 wakeup/s;CPU:  0.2% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.0%; 14.1;Process;[PID 8761] /usr/bin/containerd ; 56.1 mW  
  0.0%; 13.5;Process;[PID 8766] /usr/bin/containerd ; 53.8 mW  
  0.0%; 10.2;Timer;tick_sched_timer; 40.4 mW  
  0.0%;  6.6;Timer;hrtimer_wakeup; 26.4 mW  
  0.0%;  5.7;kWork;psi_avgs_work; 22.4 mW  
  0.0%;  5.6;Process;[PID 11] [rcu_sched]; 22.2 mW  
  0.0%;  2.0;Process;[PID 8768] /usr/bin/containerd ; 8.15 mW  
  0.0%;  2.0;Process;[PID 16714] /usr/bin/python3 /usr/bin/flask run --host=0.0.0.0 -p 8000 ; 8.08 mW  
  0.0%;  2.0;Process;[PID 525] /sbin/multipathd -d -s ; 7.97 mW  
  0.0%;  1.1;Process;[PID 17906] ifstat -n -t -w -i eth0 ; 4.73 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
174.0 us/s; 14.1;;;;Process;[PID 8761] /usr/bin/containerd ; 56.1 mW  
396.9 us/s; 13.5;;;;Process;[PID 8766] /usr/bin/containerd ; 53.8 mW  
 80.5 us/s; 10.2;;;;Timer;tick_sched_timer; 40.4 mW  
234.2 us/s;  6.6;;;;Timer;hrtimer_wakeup; 26.4 mW  
 23.0 us/s;  5.7;;;;kWork;psi_avgs_work; 22.4 mW  
 24.6 us/s;  5.6;;;;Process;[PID 11] [rcu_sched]; 22.2 mW  
160.7 us/s;  2.0;;;;Process;[PID 8768] /usr/bin/containerd ; 8.15 mW  
114.7 us/s;  2.0;;;;Process;[PID 16714] /usr/bin/python3 /usr/bin/flask run --host=0.0.0.0 -p 8000 ; 8.08 mW  
 48.4 us/s;  2.0;;;;Process;[PID 525] /sbin/multipathd -d -s ; 7.97 mW  
160.5 us/s;  1.1;;;;Process;[PID 17906] ifstat -n -t -w -i eth0 ; 4.73 mW  
  3.3 us/s;  0.5;;;;Timer;sched_rt_period_timer; 2.11 mW  
 10.3 us/s;  0.4;;;;kWork;wb_workfn; 1.60 mW  
  2.4 us/s;  0.4;;;;kWork;blk_mq_requeue_work; 1.58 mW  
  5.5 us/s;  0.3;;;;Timer;watchdog_timer_fn; 1.32 mW  
 26.2 us/s; 0.27;;;;Process;[PID 521] /sbin/multipathd -d -s ; 1.09 mW  
 15.5 us/s; 0.27;;;;Process;[PID 791] /usr/lib/accountsservice/accounts-daemon ; 1.08 mW  
 85.3 us/s; 0.13;;;;Interrupt;[7] sched(softirq);  660 uW  
 16.3 us/s; 0.13;;;;Process;[PID 693] /lib/systemd/systemd-networkd ;  552 uW  
 13.2 us/s; 0.13;;;;Process;[PID 1899] [jbd2/sda1-8];  547 uW  
  4.1 us/s; 0.13;;;;Process;[PID 10358] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ;  533 uW  
