____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:41:45 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  283.1 wakeup/s;CPU:  11.0% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.0%; 47.8;Timer;tick_sched_timer;  189 mW  
  0.0%; 40.2;Process;[PID 868] /usr/lib/snapd/snapd ;  159 mW  
  0.0%; 20.0;Process;[PID 11] [rcu_sched]; 79.1 mW  
  0.0%; 18.7;Process;[PID 8813] /usr/bin/containerd ; 74.3 mW  
  0.0%; 14.0;Process;[PID 8818] /usr/bin/containerd ; 55.9 mW  
  0.0%; 11.2;Timer;hrtimer_wakeup; 44.8 mW  
  0.0%;  9.9;Process;[PID 804] /lib/systemd/systemd-logind ; 39.5 mW  
  2.2%; 0.20;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ; 35.2 mW  
  0.0%;  8.5;kWork;psi_avgs_work; 33.5 mW  
  0.1%;  7.9;Process;[PID 1] /sbin/init ; 32.0 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
321.1 us/s; 47.8;;;;Timer;tick_sched_timer;  189 mW  
277.9 us/s; 40.2;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  159 mW  
 80.8 us/s; 20.0;;;;Process;[PID 11] [rcu_sched]; 79.1 mW  
217.0 us/s; 18.7;;;;Process;[PID 8813] /usr/bin/containerd ; 74.3 mW  
432.6 us/s; 14.0;;;;Process;[PID 8818] /usr/bin/containerd ; 55.9 mW  
381.0 us/s; 11.2;;;;Timer;hrtimer_wakeup; 44.8 mW  
384.3 us/s;  9.9;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 39.5 mW  
 22.0 ms/s; 0.20;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ; 35.2 mW  
 38.8 us/s;  8.5;;;;kWork;psi_avgs_work; 33.5 mW  
631.9 us/s;  7.9;;;;Process;[PID 1] /sbin/init ; 32.0 mW  
  1.3 ms/s;  5.7;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 24.7 mW  
 14.8 ms/s; 0.07;;;;Process;[PID 18524] landscape-sysin; 23.4 mW  
 14.7 ms/s; 0.07;;;;Process;[PID 18435] landscape-sysin; 23.2 mW  
 14.7 ms/s; 0.07;;;;Process;[PID 18349] landscape-sysin; 23.1 mW  
 23.9 us/s;  5.1;;;;kWork;free_work; 20.3 mW  
 49.5 us/s;  4.8;;;;Process;[PID 1087] /usr/lib/snapd/snapd ; 19.0 mW  
108.0 us/s;  4.6;;;;Interrupt;[3] net_rx(softirq); 18.3 mW  
223.0 us/s;  3.6;;;;Process;[PID 8819] /usr/bin/containerd ; 14.6 mW  
192.9 us/s;  3.2;;;;Process;[PID 8814] /usr/bin/containerd ; 12.9 mW  
  0.9 ms/s;  2.2;;;;Process;[PID 18496] sshd; 10.1 mW  
