____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:42:01 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  998.2 wakeup/s;CPU:  16.6% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.5%;313.4;Interrupt;[3] net_rx(softirq);  1.25 W  
  0.1%;205.1;Timer;tick_sched_timer;  812 mW  
  6.5%;108.0;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  527 mW  
  0.0%; 96.4;Process;[PID 11] [rcu_sched];  382 mW  
  0.0%; 61.0;Process;[PID 868] /usr/lib/snapd/snapd ;  242 mW  
  0.0%; 18.8;Timer;hrtimer_wakeup; 74.9 mW  
  0.0%; 16.7;Process;[PID 8813] /usr/bin/containerd ; 66.4 mW  
  0.1%; 13.6;Process;[PID 804] /lib/systemd/systemd-logind ; 54.5 mW  
  0.0%; 13.2;Process;[PID 8814] /usr/bin/containerd ; 52.7 mW  
  0.0%; 12.9;Process;[PID 1089] /usr/lib/snapd/snapd ; 51.4 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  4.9 ms/s;313.4;;;;Interrupt;[3] net_rx(softirq);  1.25 W  
  1.0 ms/s;205.1;;;;Timer;tick_sched_timer;  812 mW  
 64.7 ms/s;108.0;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  527 mW  
428.5 us/s; 96.4;;;;Process;[PID 11] [rcu_sched];  382 mW  
372.0 us/s; 61.0;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  242 mW  
396.7 us/s; 18.8;;;;Timer;hrtimer_wakeup; 74.9 mW  
216.4 us/s; 16.7;;;;Process;[PID 8813] /usr/bin/containerd ; 66.4 mW  
520.7 us/s; 13.6;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 54.5 mW  
342.7 us/s; 13.2;;;;Process;[PID 8814] /usr/bin/containerd ; 52.7 mW  
232.7 us/s; 12.9;;;;Process;[PID 1089] /usr/lib/snapd/snapd ; 51.4 mW  
 62.1 us/s; 11.3;;;;Interrupt;[4] block(softirq); 44.6 mW  
  0.8 ms/s; 10.5;;;;Process;[PID 1] /sbin/init ; 42.6 mW  
 36.0 us/s;  8.1;;;;kWork;psi_avgs_work; 32.2 mW  
  1.7 ms/s;  6.5;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 28.5 mW  
270.4 us/s;  6.6;;;;Interrupt;[28] virtio1-output.0; 26.5 mW  
258.7 us/s;  6.5;;;;Process;[PID 8818] /usr/bin/containerd ; 25.9 mW  
 16.4 ms/s; 0.07;;;;Process;[PID 18698] landscape-sysin; 25.8 mW  
 15.4 ms/s; 0.07;;;;Process;[PID 18787] landscape-sysin; 24.2 mW  
 26.4 us/s;  6.1;;;;kWork;free_work; 24.0 mW  
 14.6 ms/s; 0.07;;;;Process;[PID 18611] landscape-sysin; 23.0 mW  
  0.8 ms/s;  2.9;;;;Interrupt;[7] sched(softirq); 12.8 mW  
  1.0 ms/s;  2.6;;;;Process;[PID 18759] sshd; 11.8 mW  
  1.0 ms/s;  2.6;;;;Process;[PID 18586] sshd; 11.8 mW  
558.6 us/s;  2.5;;;;Process;[PID 378] /lib/systemd/systemd-journald ; 10.9 mW  
  1.0 ms/s;  2.3;;;;Process;[PID 18673] sshd; 10.8 mW  
209.7 us/s;  2.0;;;;kWork;memcg_kmem_cache_create_func; 8.22 mW  
 35.9 us/s;  2.0;;;;Process;[PID 531] /sbin/multipathd -d -s ; 7.95 mW  
 76.2 us/s;  1.7;;;;Process;[PID 862] /usr/sbin/rsyslogd -n -iNONE ; 6.96 mW  
 93.7 us/s;  1.6;;;;Process;[PID 864] /usr/sbin/rsyslogd -n -iNONE ; 6.46 mW  
141.9 us/s;  1.5;;;;Process;[PID 881] /usr/lib/policykit-1/polkitd --no-debug ; 6.28 mW  
115.2 us/s;  1.5;;;;Process;[PID 865] /usr/lib/accountsservice/accounts-daemon ; 6.23 mW  
620.5 us/s;  1.3;;;;Process;[PID 18593] systemd-udevd; 6.23 mW  
468.7 us/s;  1.3;;;;Process;[PID 899] /usr/lib/snapd/snapd ; 6.00 mW  
610.4 us/s;  1.2;;;;Process;[PID 18687] systemd-udevd; 5.69 mW  
392.5 us/s;  1.3;;;;Process;[PID 18674] sshd; 5.61 mW  
114.3 us/s;  1.3;;;;Process;[PID 866] /usr/lib/udisks2/udisksd ; 5.44 mW  
389.8 us/s;  1.2;;;;Process;[PID 18587] sshd; 5.35 mW  
 82.4 us/s;  1.3;;;;Process;[PID 797] /usr/lib/accountsservice/accounts-daemon ; 5.13 mW  
393.4 us/s;  1.1;;;;Process;[PID 18760] sshd; 5.09 mW  
 15.2 us/s;  1.3;;;;kWork;blk_mq_run_work_fn; 5.03 mW  
134.5 us/s;  1.1;;;;Process;[PID 18006] ifstat -n -t -w -i eth0 ; 4.69 mW  
 11.1 us/s;  1.1;;;;Process;[PID 1090] /usr/lib/snapd/snapd ; 4.49 mW  
  2.0 ms/s; 0.27;;;;Process;[PID 18805] 91-release-upgr; 4.25 mW  
112.3 us/s;  1.0;;;;Process;[PID 878] /usr/lib/policykit-1/polkitd --no-debug ; 4.12 mW  
445.6 us/s;  0.9;;;;Process;[PID 18767] /lib/systemd/systemd-udevd ; 4.12 mW  
 20.7 us/s;  1.0;;;;Process;[PID 10] [ksoftirqd/0]; 3.98 mW  
  2.0 ms/s; 0.20;;;;Process;[PID 18629] 91-release-upgr; 3.89 mW  
  9.0 us/s;  0.9;;;;kWork;blk_mq_requeue_work; 3.70 mW  
167.3 us/s;  0.7;;;;Process;[PID 18668] sshd; 3.16 mW  
192.9 us/s;  0.7;;;;Process;[PID 18755] sshd; 2.93 mW  
175.7 us/s;  0.7;;;;Process;[PID 18844] sshd; 2.91 mW  
573.1 us/s;  0.5;;;;Process;[PID 18585] systemd-udevd; 2.74 mW  
  1.6 ms/s;;;;;Process;[PID 18716] 91-release-upgr; 2.57 mW  
378.1 us/s;  0.5;;;;Process;[PID 18684] systemd-udevd; 2.43 mW  
  7.4 us/s;  0.6;;;;kWork;vmstat_shepherd; 2.38 mW  
114.6 us/s;  0.5;;;;kWork;kmemcg_workfn; 2.28 mW  
  9.8 us/s;  0.5;;;;Process;[PID 18] [ksoftirqd/1]; 1.86 mW  
 30.9 us/s;  0.4;;;;Process;[PID 303] [jbd2/vda1-8]; 1.63 mW  
 15.6 us/s;  0.4;;;;kWork;wb_workfn; 1.60 mW  
 13.7 us/s;  0.4;;;;Process;[PID 10428] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 1.60 mW  
 12.9 us/s;  0.4;;;;Process;[PID 24] [ksoftirqd/2]; 1.60 mW  
 10.1 us/s;  0.4;;;;kWork;css_free_rwork_fn; 1.60 mW  
515.4 us/s; 0.20;;;;Process;[PID 18677] systemd-udevd; 1.59 mW  
  6.0 us/s;  0.4;;;;Process;[PID 10426] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 1.59 mW  
  2.4 us/s;  0.4;;;;kWork;kernfs_notify_workfn; 1.58 mW  
400.2 us/s; 0.20;;;;Process;[PID 18716] lsb_release; 1.41 mW  
