____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:43:34 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  1157.4 wakeup/s;CPU:  16.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.7%;446.2;Interrupt;[3] net_rx(softirq);  1.77 W  
  0.1%;237.4;Timer;tick_sched_timer;  940 mW  
  6.6%;134.9;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  635 mW  
  0.1%; 95.7;Process;[PID 11] [rcu_sched];  379 mW  
  0.0%; 44.6;Process;[PID 868] /usr/lib/snapd/snapd ;  177 mW  
  0.0%; 21.3;Timer;hrtimer_wakeup; 84.8 mW  
  0.0%; 13.4;Process;[PID 8813] /usr/bin/containerd ; 53.2 mW  
  0.0%; 12.2;Process;[PID 804] /lib/systemd/systemd-logind ; 48.9 mW  
  0.0%; 10.8;Interrupt;[28] virtio1-output.0; 43.2 mW  
  0.1%; 10.3;Process;[PID 1] /sbin/init ; 42.0 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  6.6 ms/s;446.2;;;;Interrupt;[3] net_rx(softirq);  1.77 W  
  1.2 ms/s;237.4;;;;Timer;tick_sched_timer;  940 mW  
 65.6 ms/s;134.9;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  635 mW  
558.9 us/s; 95.7;;;;Process;[PID 11] [rcu_sched];  379 mW  
312.2 us/s; 44.6;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  177 mW  
361.9 us/s; 21.3;;;;Timer;hrtimer_wakeup; 84.8 mW  
215.7 us/s; 13.4;;;;Process;[PID 8813] /usr/bin/containerd ; 53.2 mW  
498.9 us/s; 12.2;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 48.9 mW  
356.9 us/s; 10.8;;;;Interrupt;[28] virtio1-output.0; 43.2 mW  
  0.8 ms/s; 10.3;;;;Process;[PID 1] /sbin/init ; 42.0 mW  
262.6 us/s; 10.5;;;;Process;[PID 8819] /usr/bin/containerd ; 41.7 mW  
 36.2 us/s;  7.7;;;;kWork;psi_avgs_work; 30.3 mW  
  1.0 ms/s;  6.9;;;;Interrupt;[7] sched(softirq); 28.7 mW  
  1.7 ms/s;  5.8;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 25.5 mW  
 15.5 ms/s; 0.07;;;;Process;[PID 20198] landscape-sysin; 24.5 mW  
 15.0 ms/s; 0.07;;;;Process;[PID 20109] landscape-sysin; 23.7 mW  
 29.6 us/s;  5.9;;;;kWork;free_work; 23.5 mW  
 14.3 ms/s; 0.07;;;;Process;[PID 20024] landscape-sysin; 22.6 mW  
155.7 us/s;  5.1;;;;Process;[PID 8814] /usr/bin/containerd ; 20.2 mW  
 39.1 us/s;  3.9;;;;Process;[PID 1090] /usr/lib/snapd/snapd ; 15.6 mW  
 21.1 us/s;  3.1;;;;Process;[PID 10] [ksoftirqd/0]; 12.4 mW  
411.5 us/s;  2.7;;;;Process;[PID 870] /usr/lib/snapd/snapd ; 11.4 mW  
  1.0 ms/s;  2.4;;;;Process;[PID 19997] sshd; 11.0 mW  
593.2 us/s;  2.5;;;;Process;[PID 378] /lib/systemd/systemd-journald ; 10.7 mW  
118.1 us/s;  2.5;;;;Process;[PID 901] /usr/lib/snapd/snapd ; 10.2 mW  
  0.9 ms/s;  2.2;;;;Process;[PID 20084] sshd; 10.1 mW  
164.1 us/s;  2.5;;;;Process;[PID 8818] /usr/bin/containerd ; 10.0 mW  
  1.0 ms/s;  1.9;;;;Process;[PID 20172] sshd; 9.16 mW  
 22.6 us/s;  2.1;;;;Process;[PID 1087] /usr/lib/snapd/snapd ; 8.46 mW  
 58.1 us/s;  1.9;;;;Process;[PID 899] /usr/lib/snapd/snapd ; 7.72 mW  
140.7 us/s;  1.7;;;;Process;[PID 881] /usr/lib/policykit-1/polkitd --no-debug ; 7.06 mW  
190.9 us/s;  1.6;;;;kWork;memcg_kmem_cache_create_func; 6.62 mW  
124.5 us/s;  1.6;;;;Process;[PID 865] /usr/lib/accountsservice/accounts-daemon ; 6.51 mW  
 25.8 us/s;  1.6;;;;Process;[PID 531] /sbin/multipathd -d -s ; 6.36 mW  
 76.1 us/s;  1.5;;;;Process;[PID 862] /usr/sbin/rsyslogd -n -iNONE ; 6.17 mW  
417.4 us/s;  1.3;;;;Process;[PID 20085] sshd; 5.65 mW  
396.6 us/s;  1.3;;;;Process;[PID 20173] sshd; 5.62 mW  
386.0 us/s;  1.1;;;;Process;[PID 19998] sshd; 5.08 mW  
516.9 us/s;  1.1;;;;Process;[PID 20099] systemd-udevd; 5.02 mW  
120.3 us/s;  1.2;;;;Process;[PID 866] /usr/lib/udisks2/udisksd ; 4.93 mW  
 88.3 us/s;  1.1;;;;Process;[PID 864] /usr/sbin/rsyslogd -n -iNONE ; 4.35 mW  
  2.1 ms/s; 0.27;;;;Process;[PID 20042] 91-release-upgr; 4.29 mW  
602.7 us/s;  0.8;;;;Process;[PID 20004] systemd-udevd; 4.10 mW  
  1.9 ms/s; 0.27;;;;Process;[PID 20127] 91-release-upgr; 4.09 mW  
124.2 us/s;  0.9;;;;Process;[PID 18006] ifstat -n -t -w -i eth0 ; 3.88 mW  
 66.8 us/s;  0.9;;;;Process;[PID 797] /usr/lib/accountsservice/accounts-daemon ; 3.53 mW  
117.8 us/s;  0.8;;;;Process;[PID 878] /usr/lib/policykit-1/polkitd --no-debug ; 3.34 mW  
  1.9 ms/s; 0.07;;;;Process;[PID 20216] 91-release-upgr; 3.26 mW  
  3.1 us/s;  0.8;;;;Timer;sched_rt_period_timer; 3.16 mW  
169.4 us/s;  0.7;;;;Process;[PID 20081] sshd; 3.16 mW  
428.2 us/s;  0.6;;;;Process;[PID 20187] /lib/systemd/systemd-udevd ; 3.04 mW  
 22.1 us/s;  0.7;;;;Process;[PID 24] [ksoftirqd/2]; 2.67 mW  
182.5 us/s;  0.6;;;;Process;[PID 20166] sshd; 2.65 mW  
  5.1 us/s;  0.7;;;;Timer;watchdog_timer_fn; 2.64 mW  
395.6 us/s;  0.5;;;;Process;[PID 20008] systemd-udevd; 2.46 mW  
  5.6 us/s;  0.6;;;;kWork;blk_mq_requeue_work; 2.38 mW  
356.4 us/s;  0.4;;;;Process;[PID 20090] systemd-udevd; 2.14 mW  
326.5 us/s;  0.3;;;;Process;[PID 20180] /lib/systemd/systemd-udevd ; 1.83 mW  
134.5 us/s;  0.4;;;;kWork;kmemcg_workfn; 1.79 mW  
  8.4 us/s;  0.4;;;;Timer;timerfd_tmrproc; 1.59 mW  
  2.4 us/s;  0.4;;;;kWork;key_garbage_collector; 1.58 mW  
276.6 us/s; 0.27;;;;Process;[PID 20171] /lib/systemd/systemd-udevd ; 1.48 mW  
 78.6 us/s;  0.3;;;;Process;[PID 902] /usr/lib/snapd/snapd ; 1.44 mW  
374.3 us/s; 0.20;;;;Process;[PID 20083] systemd-udevd; 1.37 mW  
199.4 us/s; 0.27;;;;Process;[PID 20255] sshd; 1.36 mW  
 12.2 us/s;  0.3;;;;kWork;css_free_rwork_fn; 1.34 mW  
