____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:41:29 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  341.5 wakeup/s;CPU:  6.5% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.0%; 40.1;Timer;tick_sched_timer;  159 mW  
  0.1%; 37.1;Process;[PID 10682] /usr/bin/containerd ;  147 mW  
  0.0%; 31.2;Process;[PID 8672] /usr/bin/containerd ;  124 mW  
  0.0%; 30.4;Process;[PID 880] /usr/lib/snapd/snapd ;  120 mW  
  0.1%; 18.7;Timer;hrtimer_wakeup; 74.7 mW  
  0.0%; 17.7;Process;[PID 11] [rcu_sched]; 69.9 mW  
  0.0%; 10.0;Process;[PID 13071] mongod --auth --bind_ip_all ; 39.8 mW  
  0.0%; 10.0;Process;[PID 13062] mongod --auth --bind_ip_all ; 39.7 mW  
  0.0%;  9.9;Interrupt;[4] block(softirq); 39.0 mW  
  0.0%;  9.3;Process;[PID 817] /lib/systemd/systemd-logind ; 37.1 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
238.5 us/s; 40.1;;;;Timer;tick_sched_timer;  159 mW  
535.2 us/s; 37.1;;;;Process;[PID 10682] /usr/bin/containerd ;  147 mW  
271.5 us/s; 31.2;;;;Process;[PID 8672] /usr/bin/containerd ;  124 mW  
157.5 us/s; 30.4;;;;Process;[PID 880] /usr/lib/snapd/snapd ;  120 mW  
647.2 us/s; 18.7;;;;Timer;hrtimer_wakeup; 74.7 mW  
 63.2 us/s; 17.7;;;;Process;[PID 11] [rcu_sched]; 69.9 mW  
204.0 us/s; 10.0;;;;Process;[PID 13071] mongod --auth --bind_ip_all ; 39.8 mW  
156.7 us/s; 10.0;;;;Process;[PID 13062] mongod --auth --bind_ip_all ; 39.7 mW  
 40.2 us/s;  9.9;;;;Interrupt;[4] block(softirq); 39.0 mW  
344.9 us/s;  9.3;;;;Process;[PID 817] /lib/systemd/systemd-logind ; 37.1 mW  
 32.4 us/s;  8.2;;;;kWork;psi_avgs_work; 32.4 mW  
466.9 us/s;  7.3;;;;Process;[PID 1] /sbin/init ; 29.7 mW  
 70.5 us/s;  7.5;;;;Process;[PID 10260] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 29.6 mW  
144.3 us/s;  6.5;;;;Process;[PID 8678] /usr/bin/containerd ; 25.8 mW  
 16.0 ms/s; 0.07;;;;Process;[PID 13738] landscape-sysin; 25.2 mW  
 14.7 ms/s; 0.07;;;;Process;[PID 13818] landscape-sysin; 23.2 mW  
 18.2 us/s;  4.3;;;;kWork;free_work; 17.1 mW  
199.2 us/s;  4.2;;;;Process;[PID 8674] /usr/bin/containerd ; 16.9 mW  
519.7 us/s;  4.0;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 16.6 mW  
113.5 us/s;  3.2;;;;Process;[PID 10263] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 12.8 mW  
115.8 us/s;  3.0;;;;Process;[PID 10710] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 12.0 mW  
  0.9 ms/s;  2.5;;;;Process;[PID 13801] sshd; 11.2 mW  
 50.3 us/s;  2.8;;;;Process;[PID 13054] mongod --auth --bind_ip_all ; 11.1 mW  
  1.8 ms/s;  2.0;;;;Process;[PID 13078] mongod --auth --bind_ip_all ; 10.7 mW  
  1.0 ms/s;  2.3;;;;Process;[PID 13483] systemd-udevd; 10.5 mW  
  0.9 ms/s;  2.3;;;;Process;[PID 13722] sshd; 10.4 mW  
117.3 us/s;  2.2;;;;Interrupt;[3] net_rx(softirq); 8.87 mW  
391.6 us/s;  1.8;;;;Process;[PID 379] /lib/systemd/systemd-journald ; 7.72 mW  
 33.8 us/s;  1.9;;;;Process;[PID 530] /sbin/multipathd -d -s ; 7.69 mW  
166.3 us/s;  1.6;;;;kWork;memcg_kmem_cache_create_func; 6.58 mW  
 51.8 us/s;  1.6;;;;Process;[PID 864] /usr/sbin/rsyslogd -n -iNONE ; 6.40 mW  
383.5 us/s;  1.2;;;;Process;[PID 13723] sshd; 5.34 mW  
396.2 us/s;  1.1;;;;Process;[PID 13802] sshd; 5.09 mW  
249.4 us/s;  1.1;;;;Process;[PID 13876] ifstat -n -t -w -i eth0 ; 4.86 mW  
 96.4 us/s;  1.1;;;;Process;[PID 896] /usr/lib/policykit-1/polkitd --no-debug ; 4.36 mW  
 12.6 us/s;  1.1;;;;kWork;blk_mq_run_work_fn; 4.23 mW  
 74.9 us/s;  1.0;;;;Process;[PID 13064] mongod --auth --bind_ip_all ; 4.07 mW  
 66.1 us/s;  1.0;;;;Process;[PID 13073] mongod --auth --bind_ip_all ; 4.05 mW  
 34.7 us/s;  1.0;;;;Process;[PID 13055] mongod --auth --bind_ip_all ; 4.00 mW  
  2.1 ms/s; 0.20;;;;Process;[PID 13757] 91-release-upgr; 3.99 mW  
 26.5 us/s;  1.0;;;;Process;[PID 13074] mongod --auth --bind_ip_all ; 3.99 mW  
 24.5 us/s;  1.0;;;;Process;[PID 13065] mongod --auth --bind_ip_all ; 3.99 mW  
 23.7 us/s;  1.0;;;;Process;[PID 11529] php -S [::]:8080 -t /var/www/html ; 3.99 mW  
 22.3 us/s;  1.0;;;;Process;[PID 12987] tini -- /docker-entrypoint.sh mongo-express ; 3.98 mW  
 21.9 us/s;  1.0;;;;Process;[PID 13066] mongod --auth --bind_ip_all ; 3.98 mW  
 20.2 us/s;  1.0;;;;Process;[PID 13068] mongod --auth --bind_ip_all ; 3.98 mW  
 18.2 us/s;  1.0;;;;Process;[PID 13067] mongod --auth --bind_ip_all ; 3.98 mW  
 11.0 us/s;  1.0;;;;Process;[PID 13063] mongod --auth --bind_ip_all ; 3.97 mW  
  2.0 ms/s; 0.20;;;;Process;[PID 13836] 91-release-upgr; 3.84 mW  
402.7 us/s;  0.8;;;;Process;[PID 884] /usr/lib/snapd/snapd ; 3.79 mW  
564.4 us/s;  0.7;;;;Process;[PID 13484] systemd-udevd; 3.78 mW  
 75.9 us/s;  0.8;;;;Process;[PID 878] /usr/lib/accountsservice/accounts-daemon ; 3.28 mW  
240.5 us/s;  0.7;;;;Interrupt;[7] sched(softirq); 3.27 mW  
 71.7 us/s;  0.8;;;;Process;[PID 877] /usr/lib/udisks2/udisksd ; 3.27 mW  
170.2 us/s;  0.7;;;;Process;[PID 13795] sshd; 3.16 mW  
 39.9 us/s;  0.7;;;;Process;[PID 811] /usr/lib/accountsservice/accounts-daemon ; 2.96 mW  
175.9 us/s;  0.7;;;;Process;[PID 13874] sshd; 2.91 mW  
141.4 us/s;  0.7;;;;Process;[PID 13048] node app ; 2.85 mW  
 60.2 us/s;  0.7;;;;Process;[PID 866] /usr/sbin/rsyslogd -n -iNONE ; 2.73 mW  
  3.8 us/s;  0.6;;;;kWork;blk_mq_requeue_work; 2.38 mW  
348.7 us/s;  0.4;;;;Process;[PID 13480] systemd-udevd; 2.12 mW  
 11.2 us/s;  0.5;;;;Process;[PID 13069] mongod --auth --bind_ip_all ; 2.12 mW  
 73.4 us/s;  0.5;;;;Process;[PID 891] /usr/lib/policykit-1/polkitd --no-debug ; 1.96 mW  
180.3 us/s;  0.4;;;;Process;[PID 13799] sudo; 1.86 mW  
  2.3 us/s;  0.5;;;;Timer;sched_rt_period_timer; 1.85 mW  
239.0 us/s;  0.3;;;;Process;[PID 13639] systemd-udevd; 1.69 mW  
210.2 us/s;  0.3;;;;Process;[PID 13797] sudo; 1.64 mW  
373.3 us/s; 0.27;;;;Process;[PID 13475] systemd-udevd; 1.64 mW  
  8.5 us/s;  0.4;;;;kWork;vmstat_shepherd; 1.59 mW  
