____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:42:16 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  1034.7 wakeup/s;CPU:  17.6% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.6%;368.5;Interrupt;[3] net_rx(softirq);  1.47 W  
  0.1%;199.4;Timer;tick_sched_timer;  789 mW  
  7.4%;119.4;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  587 mW  
  0.1%;115.8;Process;[PID 11] [rcu_sched];  458 mW  
  0.0%; 57.8;Process;[PID 868] /usr/lib/snapd/snapd ;  229 mW  
  0.0%; 17.6;Process;[PID 8813] /usr/bin/containerd ; 69.8 mW  
  0.0%; 16.3;Timer;hrtimer_wakeup; 65.1 mW  
  0.0%; 11.9;Process;[PID 8818] /usr/bin/containerd ; 47.5 mW  
  0.0%; 11.1;Process;[PID 804] /lib/systemd/systemd-logind ; 44.7 mW  
  0.1%;  7.7;Process;[PID 1] /sbin/init ; 31.8 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  6.1 ms/s;368.5;;;;Interrupt;[3] net_rx(softirq);  1.47 W  
  1.1 ms/s;199.4;;;;Timer;tick_sched_timer;  789 mW  
 74.2 ms/s;119.4;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  587 mW  
510.1 us/s;115.8;;;;Process;[PID 11] [rcu_sched];  458 mW  
351.8 us/s; 57.8;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  229 mW  
213.4 us/s; 17.6;;;;Process;[PID 8813] /usr/bin/containerd ; 69.8 mW  
411.6 us/s; 16.3;;;;Timer;hrtimer_wakeup; 65.1 mW  
399.8 us/s; 11.9;;;;Process;[PID 8818] /usr/bin/containerd ; 47.5 mW  
475.9 us/s; 11.1;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 44.7 mW  
  0.8 ms/s;  7.7;;;;Process;[PID 1] /sbin/init ; 31.8 mW  
348.9 us/s;  7.7;;;;Interrupt;[28] virtio1-output.0; 31.1 mW  
 34.9 us/s;  7.4;;;;kWork;psi_avgs_work; 29.3 mW  
279.1 us/s;  6.4;;;;Process;[PID 8814] /usr/bin/containerd ; 25.7 mW  
  1.8 ms/s;  5.5;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 24.4 mW  
 15.0 ms/s; 0.07;;;;Process;[PID 18878] landscape-sysin; 23.6 mW  
 14.9 ms/s; 0.07;;;;Process;[PID 18964] landscape-sysin; 23.6 mW  
 14.5 ms/s;;;;;Process;[PID 19055] landscape-sysin; 22.6 mW  
 28.1 us/s;  4.7;;;;kWork;free_work; 18.5 mW  
  0.9 ms/s;  4.2;;;;Interrupt;[7] sched(softirq); 18.0 mW  
  1.1 ms/s;  2.5;;;;Process;[PID 18937] sshd; 11.4 mW  
 67.3 us/s;  2.8;;;;Process;[PID 901] /usr/lib/snapd/snapd ; 11.2 mW  
  0.9 ms/s;  2.3;;;;Process;[PID 18852] sshd; 10.4 mW  
532.6 us/s;  2.4;;;;Process;[PID 378] /lib/systemd/systemd-journald ; 10.3 mW  
 35.8 us/s;  1.9;;;;Process;[PID 531] /sbin/multipathd -d -s ; 7.69 mW  
