____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:41:30 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  555.5 wakeup/s;CPU:  31.0% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 98.5;Process;[PID 868] /usr/lib/snapd/snapd ;  390 mW  
  0.1%; 89.6;Timer;tick_sched_timer;  355 mW  
 13.1%; 0.13;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  205 mW  
  0.0%; 37.0;Process;[PID 11] [rcu_sched];  146 mW  
  0.1%; 26.0;Process;[PID 804] /lib/systemd/systemd-logind ;  104 mW  
  0.2%; 21.7;Process;[PID 1] /sbin/init ; 88.2 mW  
  0.0%; 19.0;Process;[PID 8813] /usr/bin/containerd ; 75.4 mW  
  0.1%; 18.2;Timer;hrtimer_wakeup; 72.7 mW  
  0.2%; 15.2;Process;[PID 411] /lib/systemd/systemd-udevd ; 62.9 mW  
  0.0%; 11.4;Interrupt;[4] block(softirq); 45.1 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
539.0 us/s; 98.5;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  390 mW  
  0.8 ms/s; 89.6;;;;Timer;tick_sched_timer;  355 mW  
130.9 ms/s; 0.13;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  205 mW  
159.3 us/s; 37.0;;;;Process;[PID 11] [rcu_sched];  146 mW  
  1.0 ms/s; 26.0;;;;Process;[PID 804] /lib/systemd/systemd-logind ;  104 mW  
  1.6 ms/s; 21.7;;;;Process;[PID 1] /sbin/init ; 88.2 mW  
246.7 us/s; 19.0;;;;Process;[PID 8813] /usr/bin/containerd ; 75.4 mW  
526.4 us/s; 18.2;;;;Timer;hrtimer_wakeup; 72.7 mW  
  1.9 ms/s; 15.2;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 62.9 mW  
 67.1 us/s; 11.4;;;;Interrupt;[4] block(softirq); 45.1 mW  
 50.4 us/s; 11.4;;;;kWork;free_work; 45.1 mW  
388.9 us/s; 10.9;;;;Interrupt;[3] net_rx(softirq); 43.8 mW  
332.9 us/s; 10.6;;;;Process;[PID 8818] /usr/bin/containerd ; 42.4 mW  
305.7 us/s;  9.4;;;;Process;[PID 8819] /usr/bin/containerd ; 37.6 mW  
 39.3 us/s;  8.8;;;;kWork;psi_avgs_work; 34.8 mW  
503.3 us/s;  6.2;;;;Interrupt;[7] sched(softirq); 25.3 mW  
  2.9 ms/s;  5.2;;;;Process;[PID 17645] systemd-udevd; 25.0 mW  
 15.6 ms/s;;;;;Process;[PID 17867] landscape-sysin; 24.3 mW  
 15.3 ms/s; 0.07;;;;Process;[PID 17947] landscape-sysin; 24.1 mW  
 15.1 ms/s; 0.07;;;;Process;[PID 18177] landscape-sysin; 23.8 mW  
 14.9 ms/s; 0.07;;;;Process;[PID 18262] landscape-sysin; 23.6 mW  
