____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:44:05 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  187.3 wakeup/s;CPU:  0.5% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.0%; 31.1;Process;[PID 8672] /usr/bin/containerd ;  123 mW  
  0.0%; 22.1;Process;[PID 10682] /usr/bin/containerd ; 87.8 mW  
  0.0%; 20.4;Process;[PID 8674] /usr/bin/containerd ; 81.0 mW  
  0.0%; 14.9;Timer;tick_sched_timer; 59.1 mW  
  0.1%; 11.2;Timer;hrtimer_wakeup; 45.2 mW  
  0.0%; 10.0;Process;[PID 13071] mongod --auth --bind_ip_all ; 39.9 mW  
  0.0%; 10.0;Process;[PID 13062] mongod --auth --bind_ip_all ; 39.7 mW  
  0.0%;  9.3;Process;[PID 11] [rcu_sched]; 36.7 mW  
  0.0%;  7.3;Process;[PID 10260] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 28.8 mW  
  0.0%;  6.9;kWork;psi_avgs_work; 27.4 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
264.8 us/s; 31.1;;;;Process;[PID 8672] /usr/bin/containerd ;  123 mW  
450.5 us/s; 22.1;;;;Process;[PID 10682] /usr/bin/containerd ; 87.8 mW  
300.3 us/s; 20.4;;;;Process;[PID 8674] /usr/bin/containerd ; 81.0 mW  
 96.0 us/s; 14.9;;;;Timer;tick_sched_timer; 59.1 mW  
604.1 us/s; 11.2;;;;Timer;hrtimer_wakeup; 45.2 mW  
246.3 us/s; 10.0;;;;Process;[PID 13071] mongod --auth --bind_ip_all ; 39.9 mW  
154.1 us/s; 10.0;;;;Process;[PID 13062] mongod --auth --bind_ip_all ; 39.7 mW  
 43.9 us/s;  9.3;;;;Process;[PID 11] [rcu_sched]; 36.7 mW  
 63.3 us/s;  7.3;;;;Process;[PID 10260] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 28.8 mW  
 26.2 us/s;  6.9;;;;kWork;psi_avgs_work; 27.4 mW  
141.2 us/s;  4.7;;;;Process;[PID 8678] /usr/bin/containerd ; 18.9 mW  
 13.8 us/s;  3.9;;;;Process;[PID 11336] /usr/bin/containerd-shim-runc-v2 -namespace moby -id de30834affa2c5698c0c87060d618cf7dd0d5afc934d6424ddd69bb572863e; 15.3 mW  
 95.9 us/s;  3.5;;;;Process;[PID 13032] postgres: walwriter  ; 13.8 mW  
 51.9 us/s;  2.9;;;;Process;[PID 13054] mongod --auth --bind_ip_all ; 11.7 mW  
 85.1 us/s;  2.7;;;;Process;[PID 10263] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 10.9 mW  
  1.4 ms/s;  2.0;;;;Process;[PID 13078] mongod --auth --bind_ip_all ; 10.1 mW  
 38.6 us/s;  2.0;;;;Process;[PID 530] /sbin/multipathd -d -s ; 7.96 mW  
