____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:43:50 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  834.2 wakeup/s;CPU:  14.8% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.3%;252.6;Interrupt;[3] net_rx(softirq);  1.00 W  
  0.1%;154.6;Timer;tick_sched_timer;  612 mW  
  4.2%; 79.2;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  378 mW  
  0.0%; 69.4;Process;[PID 11] [rcu_sched];  274 mW  
  0.0%; 65.5;Process;[PID 868] /usr/lib/snapd/snapd ;  259 mW  
  0.0%; 19.1;Process;[PID 8813] /usr/bin/containerd ; 75.9 mW  
  0.0%; 18.4;Timer;hrtimer_wakeup; 73.2 mW  
  0.0%; 13.8;Process;[PID 8820] /usr/bin/containerd ; 55.1 mW  
  0.1%; 12.7;Process;[PID 804] /lib/systemd/systemd-logind ; 51.1 mW  
  0.0%; 11.3;Interrupt;[4] block(softirq); 44.6 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  3.3 ms/s;252.6;;;;Interrupt;[3] net_rx(softirq);  1.00 W  
  0.8 ms/s;154.6;;;;Timer;tick_sched_timer;  612 mW  
 41.8 ms/s; 79.2;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  378 mW  
278.8 us/s; 69.4;;;;Process;[PID 11] [rcu_sched];  274 mW  
352.3 us/s; 65.5;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  259 mW  
227.6 us/s; 19.1;;;;Process;[PID 8813] /usr/bin/containerd ; 75.9 mW  
388.7 us/s; 18.4;;;;Timer;hrtimer_wakeup; 73.2 mW  
378.1 us/s; 13.8;;;;Process;[PID 8820] /usr/bin/containerd ; 55.1 mW  
507.7 us/s; 12.7;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 51.1 mW  
 60.2 us/s; 11.3;;;;Interrupt;[4] block(softirq); 44.6 mW  
  0.7 ms/s; 10.3;;;;Process;[PID 1] /sbin/init ; 41.7 mW  
 21.7 ms/s; 0.07;;;;Process;[PID 20286] landscape-sysin; 34.1 mW  
 38.5 us/s;  8.5;;;;kWork;psi_avgs_work; 33.5 mW  
  1.9 ms/s;  6.2;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 27.4 mW  
178.7 us/s;  6.5;;;;Interrupt;[28] virtio1-output.0; 25.8 mW  
 32.9 us/s;  6.3;;;;kWork;free_work; 24.8 mW  
635.8 us/s;  6.0;;;;Interrupt;[7] sched(softirq); 24.7 mW  
 15.0 ms/s; 0.07;;;;Process;[PID 20462] landscape-sysin; 23.7 mW  
 14.9 ms/s; 0.07;;;;Process;[PID 20376] landscape-sysin; 23.5 mW  
 96.1 us/s;  4.1;;;;Process;[PID 8818] /usr/bin/containerd ; 16.5 mW  
