____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:43:19 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  874.5 wakeup/s;CPU:  14.7% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.6%;271.4;Interrupt;[3] net_rx(softirq);  1.08 W  
  0.1%;195.3;Timer;tick_sched_timer;  773 mW  
  7.3%;117.7;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  579 mW  
  0.1%;107.1;Process;[PID 11] [rcu_sched];  424 mW  
  0.0%; 28.8;Process;[PID 868] /usr/lib/snapd/snapd ;  114 mW  
  0.0%; 18.9;Process;[PID 8813] /usr/bin/containerd ; 74.8 mW  
  0.0%; 12.8;Timer;hrtimer_wakeup; 51.0 mW  
  0.0%; 11.0;Process;[PID 8814] /usr/bin/containerd ; 43.9 mW  
  0.0%;  8.8;Process;[PID 804] /lib/systemd/systemd-logind ; 35.3 mW  
  0.0%;  8.1;Interrupt;[4] block(softirq); 31.9 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  6.0 ms/s;271.4;;;;Interrupt;[3] net_rx(softirq);  1.08 W  
  1.1 ms/s;195.3;;;;Timer;tick_sched_timer;  773 mW  
 73.1 ms/s;117.7;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  579 mW  
509.3 us/s;107.1;;;;Process;[PID 11] [rcu_sched];  424 mW  
191.8 us/s; 28.8;;;;Process;[PID 868] /usr/lib/snapd/snapd ;  114 mW  
202.8 us/s; 18.9;;;;Process;[PID 8813] /usr/bin/containerd ; 74.8 mW  
301.7 us/s; 12.8;;;;Timer;hrtimer_wakeup; 51.0 mW  
317.8 us/s; 11.0;;;;Process;[PID 8814] /usr/bin/containerd ; 43.9 mW  
332.5 us/s;  8.8;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 35.3 mW  
 40.4 us/s;  8.1;;;;Interrupt;[4] block(softirq); 31.9 mW  
 33.6 us/s;  7.7;;;;kWork;psi_avgs_work; 30.3 mW  
504.5 us/s;  7.1;;;;Process;[PID 1] /sbin/init ; 28.7 mW  
  1.0 ms/s;  6.1;;;;Process;[PID 8819] /usr/bin/containerd ; 25.8 mW  
 15.1 ms/s; 0.07;;;;Process;[PID 19934] landscape-sysin; 23.9 mW  
 14.6 ms/s; 0.07;;;;Process;[PID 19844] landscape-sysin; 23.0 mW  
  1.3 ms/s;  3.9;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 17.3 mW  
 22.7 us/s;  4.3;;;;kWork;free_work; 16.9 mW  
  0.9 ms/s;  3.9;;;;Interrupt;[7] sched(softirq); 16.9 mW  
359.2 us/s;  3.8;;;;Interrupt;[28] virtio1-output.0; 15.6 mW  
 27.8 us/s;  3.0;;;;Process;[PID 10] [ksoftirqd/0]; 11.9 mW  
  1.0 ms/s;  2.5;;;;Process;[PID 19908] sshd; 11.5 mW  
  1.0 ms/s;  2.5;;;;Process;[PID 19820] sshd; 11.2 mW  
 35.8 us/s;  1.9;;;;Process;[PID 531] /sbin/multipathd -d -s ; 7.69 mW  
353.4 us/s;  1.5;;;;Process;[PID 378] /lib/systemd/systemd-journald ; 6.60 mW  
123.6 us/s;  1.4;;;;kWork;memcg_kmem_cache_create_func; 5.72 mW  
393.8 us/s;  1.3;;;;Process;[PID 19909] sshd; 5.61 mW  
667.8 us/s;  1.1;;;;Process;[PID 19907] systemd-udevd; 5.52 mW  
 79.5 us/s;  1.3;;;;Process;[PID 865] /usr/lib/accountsservice/accounts-daemon ; 5.39 mW  
394.0 us/s;  1.1;;;;Process;[PID 19821] sshd; 5.09 mW  
130.1 us/s;  1.2;;;;Process;[PID 18006] ifstat -n -t -w -i eth0 ; 4.94 mW  
 90.3 us/s;  1.2;;;;Process;[PID 881] /usr/lib/policykit-1/polkitd --no-debug ; 4.88 mW  
538.0 us/s;  1.0;;;;Process;[PID 19833] systemd-udevd; 4.79 mW  
 51.7 us/s;  1.1;;;;Process;[PID 862] /usr/sbin/rsyslogd -n -iNONE ; 4.55 mW  
  2.0 ms/s; 0.27;;;;Process;[PID 19862] 91-release-upgr; 4.16 mW  
  2.0 ms/s; 0.20;;;;Process;[PID 19952] 91-release-upgr; 3.84 mW  
 11.8 us/s;  0.9;;;;kWork;blk_mq_run_work_fn; 3.70 mW  
